what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245629855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245633890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245634042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245635050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245676368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245696404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245699980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245700113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245701618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245705091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245705273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245707261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245713369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245713563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245714456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245720456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349245730304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349245731483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349245732861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245734729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245735141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349245737101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349245757305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245760294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349245760617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349245762191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245769855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349245774354
